GSM	sample_id
GSM3319743	1001-Bulk_B-U
GSM3319744	1001-Bulk_B-S
GSM3319745	1001-Mem_B-U
GSM3319746	1001-Mem_B-S
GSM3319747	1001-Naive_B-U
GSM3319748	1001-Naive_B-S
GSM3319749	1001-Plasmablasts-U
GSM3319750	1001-CD8pos_T-U
GSM3319751	1001-CD8pos_T-S
GSM3319752	1001-Central_memory_CD8pos_T-U
GSM3319753	1001-Central_memory_CD8pos_T-S
GSM3319754	1001-Effector_memory_CD8pos_T-U
GSM3319755	1001-Effector_memory_CD8pos_T-S
GSM3319756	1001-Naive_CD8_T-U
GSM3319757	1001-Naive_CD8_T-S
GSM3319758	1001-Gamma_delta_T-U
GSM3319759	1001-Gamma_delta_T-S
GSM3319760	1001-Effector_CD4pos_T-U
GSM3319761	1001-Effector_CD4pos_T-S
GSM3319762	1001-Follicular_T_Helper-U
GSM3319763	1001-Follicular_T_Helper-S
GSM3319764	1001-Memory_Teffs-U
GSM3319765	1001-Memory_Teffs-S
GSM3319766	1001-Memory_Tregs-U
GSM3319767	1001-Memory_Tregs-S
GSM3319768	1001-Naive_Teffs-U
GSM3319769	1001-Naive_Teffs-S
GSM3319770	1001-Naive_Tregs-U
GSM3319771	1001-Regulatory_T-U
GSM3319772	1001-Regulatory_T-S
GSM3319773	1001-Th1_precursors-U
GSM3319774	1001-Th1_precursors-S
GSM3319775	1001-Th17_precursors-U
GSM3319776	1001-Th17_precursors-S
GSM3319777	1001-Th2_precursors-U
GSM3319778	1001-Th2_precursors-S
GSM3319779	1001-Mature_NK-U
GSM3319780	1001-Mature_NK-S
GSM3319781	1001-Monocytes-U
GSM3319782	1001-Monocytes-S
GSM3319783	1001-Myeloid_DCs-U
GSM3319784	1001-pDCs-U
GSM3319785	1002-Bulk_B-U
GSM3319786	1002-Bulk_B-S
GSM3319787	1002-Mem_B-U
GSM3319788	1002-Mem_B-S
GSM3319789	1002-Naive_B-U
GSM3319790	1002-CD8pos_T-U
