sample_id	cell_type	condition	donor	in_atac	in_rna
1001-Bulk_B-U	Bulk_B	resting	1001	TRUE	TRUE
1001-Bulk_B-S	Bulk_B	stimulated	1001	TRUE	TRUE
1002-Bulk_B-U	Bulk_B	resting	1002	TRUE	TRUE
1002-Bulk_B-S	Bulk_B	stimulated	1002	TRUE	TRUE
1003-Bulk_B-U	Bulk_B	resting	1003	TRUE	TRUE
1003-Bulk_B-S	Bulk_B	stimulated	1003	TRUE	TRUE
1004-Bulk_B-U	Bulk_B	resting	1004	TRUE	TRUE
1005-CD4isp_thymocytes-U	CD4isp_thymocytes	resting	1005	FALSE	FALSE
1006-CD4isp_thymocytes-U	CD4isp_thymocytes	resting	1006	FALSE	FALSE
1007-CD4isp_thymocytes-U	CD4isp_thymocytes	resting	1007	FALSE	FALSE
1001-CD8pos_T-U	CD8pos_T	resting	1001	TRUE	TRUE
1001-CD8pos_T-S	CD8pos_T	stimulated	1001	TRUE	TRUE
1002-CD8pos_T-U	CD8pos_T	resting	1002	TRUE	TRUE
1002-CD8pos_T-S	CD8pos_T	stimulated	1002	TRUE	TRUE
1003-CD8pos_T-U	CD8pos_T	resting	1003	TRUE	TRUE
1003-CD8pos_T-S	CD8pos_T	stimulated	1003	TRUE	TRUE
1004-CD8pos_T-U	CD8pos_T	resting	1004	TRUE	TRUE
1001-Central_memory_CD8pos_T-U	Central_memory_CD8pos_T	resting	1001	TRUE	TRUE
1001-Central_memory_CD8pos_T-S	Central_memory_CD8pos_T	stimulated	1001	TRUE	TRUE
1002-Central_memory_CD8pos_T-U	Central_memory_CD8pos_T	resting	1002	TRUE	FALSE
1002-Central_memory_CD8pos_T-S	Central_memory_CD8pos_T	stimulated	1002	TRUE	TRUE
1003-Central_memory_CD8pos_T-U	Central_memory_CD8pos_T	resting	1003	TRUE	TRUE
1003-Central_memory_CD8pos_T-S	Central_memory_CD8pos_T	stimulated	1003	TRUE	TRUE
1004-Central_memory_CD8pos_T-U	Central_memory_CD8pos_T	resting	1004	TRUE	TRUE
1004-Central_memory_CD8pos_T-S	Central_memory_CD8pos_T	stimulated	1004	TRUE	TRUE
1001-Effector_CD4pos_T-U	Effector_CD4pos_T	resting	1001	TRUE	TRUE
1001-Effector_CD4pos_T-S	Effector_CD4pos_T	stimulated	1001	TRUE	TRUE
1002-Effector_CD4pos_T-U	Effector_CD4pos_T	resting	1002	TRUE	FALSE
1002-Effector_CD4pos_T-S	Effector_CD4pos_T	stimulated	1002	TRUE	TRUE
1003-Effector_CD4pos_T-U	Effector_CD4pos_T	resting	1003	TRUE	TRUE
1003-Effector_CD4pos_T-S	Effector_CD4pos_T	stimulated	1003	TRUE	TRUE
1004-Effector_CD4pos_T-U	Effector_CD4pos_T	resting	1004	TRUE	TRUE
